listing_id,update_time,listing_name,location_address,orgnization,orgnization_1,orgnization_2,orgnization_3,orgnization_4,orgnization_888,orgnization_1_desc,orgnization_2_desc,orgnization_3_desc,orgnization_4_desc,orgnization_other_desc,diversegroup,diversegroup_1,diversegroup_2,diversegroup_3,diversegroup_4,diversegroup_5,diversegroup_6,diversegroup_888,diversegroup_other_desc,listing_desc,location_x,location_y,location_desc,facilities,facilities_1,facilities_2,facilities_3,facilities_4,facilities_5,facilities_6,facilities_7,facilities_8,facilities_888,facilities_other_desc,services,services_1,services_2,services_3,services_4,services_5,services_888,services_other_desc,nearbylodging_type,nearbylodging_type_1,nearbylodging_type_2,nearbylodging_type_3,nearbylodging_type_4,nearbylodging_type_5,nearbylodging_type_6,nearbylodging_type_888,nearbylodging_type_other_desc,specialproductionmethods,specialproductionmethods_1,specialproductionmethods_2,specialproductionmethods_3,specialproductionmethods_4,specialproductionmethods_5,specialproductionmethods_6,specialproductionmethods_7,specialproductionmethods_8,specialproductionmethods_9,specialproductionmethods_10,specialproductionmethods_11,specialproductionmethods_12,specialproductionmethods_13,specialproductionmethods_14,specialproductionmethods_888,specialproductionmethods_other_desc,saleschannel_onlineorder,saleschannel_onlineorder_1,saleschannel_onlineorder_2,saleschannel_onlineorder_3,saleschannel_onlineorder_888,saleschannel_onlineorder_2_desc,saleschannel_onlineorder_3_desc,saleschannel_onlineorder_other_desc,saleschannel_phoneorder,saleschannel_csaorder,saleschannel_csaorder_1,saleschannel_csaorder_2,saleschannel_csaorder_3,saleschannel_csaorder_1_desc,saleschannel_csaorder_2_desc,saleschannel_csaorder_3_desc,saleschannel_deliverymethod,saleschannel_deliverymethod_1,saleschannel_deliverymethod_2,saleschannel_deliverymethod_3,saleschannel_deliverymethod_2_desc,acceptedpayment,acceptedpayment_1,acceptedpayment_2,acceptedpayment_3,acceptedpayment_4,acceptedpayment_5,acceptedpayment_6,acceptedpayment_7,acceptedpayment_888,acceptedpayment_7_desc,acceptedpayment_other_desc,FNAP,FNAP_1,FNAP_2,FNAP_3,FNAP_888,FNAP_3_desc,FNAP_other_desc,qualify_csa,webscripting,bulktable_id,bulktable_row_id
1087,"2022-03-29 11:45:25","Bundy Brook Farm, Reserve and Watershed LLC","RQ68+5W Mansfield, Connecticut",,0,0,0,0,0,,,,,,"LGBTQIA+ Owned Business;",0,0,0,0,1,0,0,,"Our Farm is also home to one of Connecticut\'s historic barns -- Ratcliff Barn.  Agroforestry at Bundy Brook Farm is an land-use management practice combining trees and shrubs with crops and or small livestock.  Approximately twenty acres of riparian forest and upland buffers with native trees, shrubs, forbs and grasses comprise Bundy Brook. This ecosystem enhances filtration of nutrients from surface run-off and shallow ground water.  It also protects the water quality of the Fenton River and is an effective tool for controlling erosion and providing food and cover for wildlife.",,,https://goo.gl/maps/nCZyM7BFkSn6biji6,"Limited Parking;",0,0,0,0,0,0,0,0,1,"Limited Parking",,0,0,0,0,0,0,,"Hotel/motel;Bed and breakfast;Campsites/campground;Rent a room in a farm house/building;",1,1,1,0,1,0,0,,"Connecticut Grown Program (pending);",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Connecticut Grown Program (pending)",,0,0,0,0,,,,;,,0,0,0,,,,,0,0,0,,"Cash;Debit card/Credit card;",0,0,1,0,0,1,0,0,,,,0,0,0,0,,,,,,
1083,"2022-03-29 11:36:57","Crabtree Farms of Chattanooga","1000 East 30th Street, Chattanooga, TN, USA","National Young Farmers Coalition;Southeast TN Chapter of the National Young Farmers Coaltion;Tennessee Association of Farmers Markets;Local Foods, Local Places Initiative;",1,1,1,1,0,"National Young Farmers Coalition","Southeast TN Chapter of the National Young Farmers Coaltion","Tennessee Association of Farmers Markets","Local Foods, Local Places Initiative",,"Non-profit urban farm;",0,0,0,0,0,0,1,"Non-profit urban farm","Crabtree Farms was founded in 1998 to bring urban sustainable agriculture to Chattanooga. Our mission is to connect Chattanoogans with our local foodshed. We serve the greater Chattanooga community through education and advocacy programs that teach about growing food sustainably and choosing local produce. We produce sustainably-grown fruits, vegetables, and nursery stock, which we sell at the Main Street Farmers Market, at our seasonal on-site farm store, and to restaurants in downtown Chattanooga. Our Plant Sales, held in April and September each year, are a source of healthy-sustainably grown plant starts, live entertainment, and opportunities to shop for goods from local vendors. All are welcome to learn and work on the farm through our volunteer and internship programs, or by attending one of our many workshops. School groups are welcome.",-85.3002714,35.0111974,,"Parking lot;Public toilets;Hand washing stations;Banquet facilities;Meeting facilities;Picnic areas;",1,1,1,0,1,1,1,0,0,,"Packaging purchased items;Pick-Your-Own harvesting tools;",1,0,1,0,0,0,,"Hotel/motel;Bed and breakfast;Cabin;",1,1,0,1,0,0,0,,"Non-Certified, but Practicing Organic;Non-GMO;",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,"Through farm’s website;https://app.barn2door.com/e/36zL3/all;",1,1,0,0,https://app.barn2door.com/e/36zL3/all,,,;,,0,0,0,,,,"On-farm pickups/roadside stands;Main Street Farmers Market;",1,1,0,"Main Street Farmers Market","Volunteer Work;Cash;Debit card/Credit card;",0,1,1,0,0,1,0,0,Square,,SNAP;,0,1,0,0,,,,,,
1084,"2022-03-17 12:47:09","Spindrift Orchard & Vineyard","34838 Cherrywood Lane, Polson, MT, USA",,0,0,0,0,0,,,,,,"Women-Owned Business;",0,0,1,0,0,0,0,,"We proudly grow USDA certified Organic Cherries and Wine Grapes on the pristine East Shore of Flathead Lake.  We conserve water and energy in our efficient, high density, pedestrian orchard system. We strive to provide the highest quality, most nutrient packed locally grown organic food. U-pick fruit and farm visits available during cherry season.",-114.08936,47.7456671,"Entrance gate located along South Finley Point Road at the junction of South Finley Point Road and Cherrywood Lane. Paved Road.","Parking lot;Public toilets;Hand washing stations;",1,1,1,0,0,0,0,0,0,,"Pick-Your-Own harvesting tools;",0,0,1,0,0,0,,"Hotel/motel;Bed and breakfast;Campsites/campground;",1,1,1,0,0,0,0,,"Organic (USDA Certified);Non-GMO;No pesticides;",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,"Through farm’s website;",1,0,0,0,,,,Yes;,,0,0,0,,,,"On-farm pickups/roadside stands;",1,0,0,,"Volunteer Work;Cash;Debit card/Credit card;",0,1,1,0,0,1,0,0,,,,0,0,0,0,,,,,,
1091,"2022-03-30 14:47:48","Fifer\'s Farm Store & Kitchen","1919 Allabands Mill Rd, Camden Wyoming, DE 19934",,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,"Fifer\'s Farm Store and Kitchen is a 4th generation family farm that is located in Camden-Wyoming and offers U-pick, seasonal events, ice cream, lunch options, baked goods, fresh fruits, veggies and unique local foods.

We participate in Farmers’ Markets in Lewes (Saturdays) and Rehoboth Beach (Tuesdays). Our U-Pick crops feature: strawberries, blueberries, sunflowers, zinnias, peaches, apples and pumpkins (all when in-season only).

We also offer an 18-week CSA Farm Box Program (Community Supported Agriculture). This is a subscription based program that features many member benefits and new home delivery in addition to three Pickup locations.",-75.571609,39.1208836,,"Parking lot;Public toilets;Picnic areas;",1,1,0,0,0,0,1,0,0,,"Packaging purchased items;",1,0,0,0,0,0,,Hotel/motel;,1,0,0,0,0,0,0,,"Good Agricultural Practices (GAP)-Certified;Non-GMO;",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,,,,"On-farm pickups/roadside stands;Delivery to customers' home;",1,0,1,,"Cash;Personal Checks;Debit card/Credit card;",0,0,1,1,0,1,0,0,,,WIC;SNAP;,1,1,0,0,,,,,,
1094,"2022-04-12 05:20:41","Momma G Farms","36815 Leslye Ln, Eustis, FL 32736",,0,0,0,0,0,,,,,,"Minority-Owned Business;Women-Owned Business;Veteran-Owned Business;",0,1,1,1,0,0,0,,"Momma G Farms offers free farm tours and classes. Our Farm has a food forest and other plants growing throughout farm where you can nibble as you tour. Contact farm to schedule field trips and classes. Text 407-591-0406 or call 352-357-0427",-81.5310469,28.885094,"Located off of 44a East","Parking lot;Public toilets;Hand washing stations;Picnic areas;Gift shop;",1,1,1,0,0,0,1,1,0,,"Packaging purchased items;Shipping to homes;",1,1,0,0,0,0,,Hotel/motel;Campsites/campground;,1,0,1,0,0,0,0,,"Non-Certified, but Practicing Organic;No pesticides;",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,"Through farm’s website;",1,0,0,0,,,,Yes;,,0,0,0,,,,"On-farm pickups/roadside stands;Delivery to customers' home;",1,0,1,,"Cash;Commerical Checks/Accounts;Debit card/Credit card;PayPal,Venmo,Zelle,Cashapp,Square;",0,0,1,0,1,1,1,0,"PayPal,Venmo,Zelle,Cashapp,Square",,,0,0,0,0,,,,,,
1097,"2022-04-14 09:32:55","Cedar Shake Farm","1823 225th St, Winterset, Iowa 50273","Madison County Chamber;",0,0,0,1,0,,,,"Madison County Chamber",,"Veteran-Owned Business;",0,0,0,1,0,0,0,,"We at Cedar Shake Farm are committed to providing locally-grown produce and flowers using sustainable and organic practices. We are not certified organic however, we strive to provide quality products while following those same practices. We use crop rotation as well as succession planting to provide a bountiful plethora of produce and flowers for your needs.",-94.084308488461,41.323033157672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non-Certified, but Practicing Organic;No antibiotics;Non-GMO;No hormones;No pesticides;",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,"Through farm’s website;",1,0,0,0,,,,;,,0,0,0,,,,"West Des Moines & Winterset;",0,1,0,"West Des Moines & Winterset",,,,,,,,,,,,,,,,,,,,,,
1098,"2022-04-14 12:44:07","Skelly\'s Farm Market","2713 S Hayner Rd, Janesville, WI 53548","NAFDMA Agritourism Association;Wisconsin Ag Tourism Association;",1,1,0,0,0,"NAFDMA Agritourism Association","Wisconsin Ag Tourism Association",,,,,0,0,0,0,0,0,0,,"Skelly\'s Farm Market is open from June-Oct with homegrown strawberries in June, sweet corn, melons, tomatoes, and other summer produce in July-Aug, Skelly\'s Sunflower Experience in late July lasting two weeks, and lots of fall fun including pumpkins, two awesome corn mazes, Choose-Your-Farm-Adventure wagons rides, and more. Plus, during all of our seasons visit our bakery with homemade donuts and more, our huge gift shop selling rustic decor, and our fantastic free playground. Plus, visit our 8 remote roadside stands for produce in July-Aug, and see us at the Saturday Janesville Farmers Market.",-89.0804503,42.6403842,,"Parking lot;Public toilets;Gift shop;Playground;",1,1,0,0,0,0,0,1,1,Playground,"Packaging purchased items;",1,0,0,0,0,0,,Hotel/motel;,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,;,,0,0,0,,,,"On-farm pickups/roadside stands;",1,0,0,,"Cash;Debit card/Credit card;",0,0,1,0,0,1,0,0,,,WIC;,1,0,0,0,,,,,,
1100,"2022-04-18 16:50:56","Crosswinds Farm & Creamery","4721 New York 14A, Rock Stream, NY, USA",,0,0,0,0,0,,,,,,"Women-Owned Business;",0,0,1,0,0,0,0,,"On-farm retail store & scoop shop featuring our 100% grassfed Brown Swiss cows’ milk, cheese, yogurt & gelato -all produced right on the farm! Grassfed beef & pastured pork also raised on our family farm",-76.9658924,42.4606582,"On-farm retail store & scoop shop!","Parking lot;Picnic areas;Gift shop;",1,0,0,0,0,0,1,1,0,,"Shipping to homes;",0,1,0,0,0,0,,"Hotel/motel;Bed and breakfast;Campsites/campground;Cabin;Rent a room in a farm house/building;",1,1,1,1,1,0,0,,"Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,"Through farm’s website;Ithaca Farmers Market;",1,0,1,0,,"Ithaca Farmers Market",,Yes;,"Freezer bundles;",0,0,1,,,"Freezer bundles","On-farm pickups/roadside stands;Press Bay Food Hub;Delivery to customers' home;",1,1,1,"Press Bay Food Hub","Cash;Personal Checks;Commerical Checks/Accounts;Debit card/Credit card;Venmo;EBT;",0,0,1,1,1,1,1,1,Venmo,EBT,SNAP;,0,1,0,0,,,,,,
1101,"2022-04-25 21:48:29","Verdant View Farm","429 Strasburg Road, Paradise, PA 17562","FarmStayUS;PA Farm Bureau, PASA;DiscoverLancaster, Lancaster County Beekeeping Association, Lancaster County Farm Stay Group;",1,0,1,1,0,FarmStayUS,,"PA Farm Bureau, PASA","DiscoverLancaster, Lancaster County Beekeeping Association, Lancaster County Farm Stay Group",,"Women-Owned Business;",0,0,1,0,0,0,0,,"Rise and shine – slip on your boots and head to the barn for hands-on farm experience before a family-style breakfast. Milk a cow, collect eggs, interact with our many farm animals. and learn about our homestead farm.  Taste the difference of our pasture-raised beef, and enjoy recipes perfected with forty years of hosting meals at our farm B&B. Located in the heart of Amish Country in Lancaster County, PA, Verdant View Farm is owned and operated by 4th generation farmers.",,,,"Parking lot;Public toilets;Hand washing stations;Gift shop;",1,1,1,0,0,0,0,1,0,,,0,0,0,0,0,0,,"Bed and breakfast;",0,1,0,0,0,0,0,,"Non-GMO;No hormones;Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;",0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,,"Through farm’s website;",1,0,0,0,,,,;,,0,0,0,,,,"On-farm pickups/roadside stands;",1,0,0,,"Cash;Personal Checks;Debit card/Credit card;",0,0,1,1,0,1,0,0,,,,0,0,0,0,,,,,,
1102,"2022-04-26 07:53:14","Graceful Acres at Otter Creek Farm","189 Otter Creek Road, Johnsonville, NY, USA","A Greener World, Animal Welfare Approved, 100% Grass-fed;",1,0,0,0,0,"A Greener World, Animal Welfare Approved, 100% Grass-fed",,,,,"Women-Owned Business;",0,0,1,0,0,0,0,,"Come stay…
Enjoy the grace of a historic family farm in the heart of eastern NY. Let the cool, fresh air and sounds of the outdoors start your day. Fill your time with a hike across our 440 acre farm then spend time with the animals and learn more about regenerative farming during a scheduled farm tour. Graceful Acres Farmstay is situated an hour south of the Adirondack State Park and within 35 minutes of Saratoga Springs, Albany, Troy, NY and Bennington, VT.

Accommodations…
Each site has a 10X12 canvas tent on a wooden deck large enough to provide a space to relax in an ADK chair under the awning in front of the tent. Inside the tent you will find a queen-sized mattress with luxury linens, drinking water, a woodstove, general cooking utensils including cast iron, tea pot, french press and more. Surrounding the tent is a picnic table, fire pit, grill grate, hammock, solar shower, non-potable water and a compost toilet.",-73.5264057,42.8717964,"When you arrive, check-in at the Farm Shop for more instructions.","Parking lot;Gift shop;",1,0,0,0,0,0,0,1,0,,"Meal preparation;",0,0,0,0,1,0,,"Beautifully outfitted canvas tent;",0,0,0,0,0,0,1,"Beautifully outfitted canvas tent","Non-Certified, but Practicing Organic;No antibiotics;Non-GMO;No hormones;No pesticides;Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;",0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,,"Through farm’s website;",1,0,0,0,,,,Yes;,"Meat Shares are available annually;",0,0,1,,,"Meat Shares are available annually","On-farm pickups/roadside stands;",1,0,0,,"Cash;Personal Checks;Commerical Checks/Accounts;Debit card/Credit card;PayPal;",0,0,1,1,1,1,1,0,PayPal,,,0,0,0,0,,,,,,
